source,indicator_code,series_name,category,reference_date,published_at,collected_at,value,unit,frequency,currency,market_scope,source_url,metadata
cbsl,aud_lkr_tt_sell,AUD/LKR TT Sell Exchange Rate,exchange_rate,2026-03-16,,2026-03-30T10:17:34.160073+00:00,222.9569,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_sell,AUD/LKR TT Sell Exchange Rate,exchange_rate,2026-03-17,,2026-03-30T10:17:34.160073+00:00,225.2354,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_sell,AUD/LKR TT Sell Exchange Rate,exchange_rate,2026-03-18,,2026-03-30T10:17:34.160073+00:00,226.0057,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_sell,AUD/LKR TT Sell Exchange Rate,exchange_rate,2026-03-19,,2026-03-30T10:17:34.160073+00:00,224.2392,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_sell,AUD/LKR TT Sell Exchange Rate,exchange_rate,2026-03-20,,2026-03-30T10:17:34.160073+00:00,225.5358,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_sell,AUD/LKR TT Sell Exchange Rate,exchange_rate,2026-03-23,,2026-03-30T10:17:34.160073+00:00,222.8929,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_sell,AUD/LKR TT Sell Exchange Rate,exchange_rate,2026-03-24,,2026-03-30T10:17:34.160073+00:00,223.6076,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_sell,AUD/LKR TT Sell Exchange Rate,exchange_rate,2026-03-25,,2026-03-30T10:17:34.160073+00:00,223.5751,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_sell,AUD/LKR TT Sell Exchange Rate,exchange_rate,2026-03-26,,2026-03-30T10:17:34.160073+00:00,222.8094,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_sell,AUD/LKR TT Sell Exchange Rate,exchange_rate,2026-03-27,,2026-03-30T10:17:34.160073+00:00,221.5624,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
cbsl,aud_lkr_tt_sell,AUD/LKR TT Sell Exchange Rate,exchange_rate,2026-03-30,,2026-03-30T10:17:34.160073+00:00,220.7272,LKR per AUD,business_daily,AUD,Sri Lanka licensed bank TT average at 9:30 AM,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates/daily-buy-and-sell-exchange-rates,"{""latest_group"": ""cbsl_fx"", ""rate_family"": ""telegraphic_transfer""}"
